IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
141.101.114.68,4,4,0.00,166.73,0.00,N/A
104.21.225.85,4,4,0.00,166.82,0.00,N/A
104.16.168.202,4,4,0.00,167.03,0.00,N/A
104.17.29.221,4,4,0.00,167.03,0.00,N/A
104.16.169.220,4,4,0.00,167.05,0.00,N/A
104.16.79.120,4,4,0.00,167.20,0.00,N/A
104.16.93.121,4,4,0.00,167.30,0.00,N/A
172.65.208.2,4,4,0.00,167.31,0.00,N/A
172.64.72.191,4,4,0.00,167.53,0.00,N/A
162.159.195.161,4,4,0.00,167.72,0.00,N/A
162.159.201.192,4,4,0.00,167.83,0.00,N/A
104.21.227.75,4,4,0.00,167.84,0.00,N/A
190.93.247.6,4,4,0.00,167.94,0.00,N/A
104.21.232.25,4,4,0.00,168.24,0.00,N/A
198.41.207.230,4,4,0.00,168.40,0.00,N/A
104.16.178.181,4,4,0.00,168.45,0.00,N/A
104.17.58.207,4,4,0.00,168.60,0.00,N/A
172.65.193.141,4,4,0.00,168.75,0.00,N/A
172.64.66.228,4,4,0.00,168.93,0.00,N/A
104.16.88.220,4,4,0.00,169.03,0.00,N/A
104.21.226.234,4,4,0.00,169.43,0.00,N/A
104.16.31.30,4,4,0.00,169.50,0.00,N/A
104.17.24.60,4,4,0.00,169.55,0.00,N/A
104.16.56.111,4,4,0.00,169.55,0.00,N/A
104.16.167.236,4,4,0.00,169.83,0.00,N/A
104.21.231.145,4,4,0.00,169.84,0.00,N/A
104.21.236.127,4,4,0.00,169.91,0.00,N/A
104.16.74.131,4,4,0.00,170.00,0.00,N/A
104.17.34.121,4,4,0.00,170.12,0.00,N/A
104.16.14.203,4,4,0.00,170.35,0.00,N/A
104.16.222.189,4,4,0.00,170.43,0.00,N/A
172.64.85.14,4,4,0.00,170.47,0.00,N/A
198.41.222.64,4,4,0.00,170.47,0.00,N/A
172.65.203.91,4,4,0.00,170.54,0.00,N/A
104.16.78.159,4,4,0.00,170.56,0.00,N/A
104.17.8.13,4,4,0.00,170.57,0.00,N/A
198.41.196.121,4,4,0.00,170.63,0.00,N/A
104.16.190.189,4,4,0.00,170.69,0.00,N/A
104.16.8.169,4,4,0.00,170.78,0.00,N/A
104.16.109.69,4,4,0.00,170.85,0.00,N/A
198.41.208.26,4,4,0.00,170.86,0.00,N/A
162.159.240.36,4,4,0.00,170.98,0.00,N/A
172.64.92.70,4,4,0.00,171.01,0.00,N/A
172.65.216.5,4,4,0.00,171.02,0.00,N/A
104.16.151.226,4,4,0.00,171.39,0.00,N/A
104.17.71.157,4,4,0.00,171.62,0.00,N/A
104.21.238.98,4,4,0.00,171.85,0.00,N/A
104.16.75.202,4,4,0.00,171.87,0.00,N/A
104.16.161.116,4,4,0.00,171.89,0.00,N/A
104.16.130.102,4,4,0.00,171.91,0.00,N/A
104.16.240.189,4,4,0.00,171.96,0.00,N/A
104.16.210.116,4,4,0.00,172.13,0.00,N/A
172.65.255.150,4,4,0.00,172.31,0.00,N/A
104.16.142.149,4,4,0.00,172.39,0.00,N/A
172.65.46.203,4,4,0.00,172.41,0.00,N/A
104.16.40.9,4,4,0.00,172.43,0.00,N/A
104.16.42.175,4,4,0.00,172.51,0.00,N/A
104.17.89.71,4,4,0.00,172.52,0.00,N/A
104.16.228.172,4,4,0.00,172.72,0.00,N/A
104.16.195.203,4,4,0.00,173.00,0.00,N/A
104.16.72.156,4,4,0.00,173.04,0.00,N/A
104.25.151.52,4,4,0.00,173.18,0.00,N/A
104.16.227.167,4,4,0.00,173.26,0.00,N/A
104.17.47.103,4,4,0.00,173.41,0.00,N/A
104.16.145.0,4,4,0.00,173.46,0.00,N/A
104.17.45.243,4,4,0.00,173.74,0.00,N/A
104.16.114.213,4,4,0.00,173.94,0.00,N/A
162.159.207.220,4,4,0.00,173.95,0.00,N/A
172.65.204.93,4,4,0.00,174.00,0.00,N/A
104.16.128.225,4,4,0.00,174.01,0.00,N/A
104.17.96.182,4,4,0.00,174.06,0.00,N/A
104.16.81.218,4,4,0.00,174.17,0.00,N/A
104.17.9.181,4,4,0.00,174.18,0.00,N/A
104.17.14.18,4,4,0.00,174.23,0.00,N/A
198.41.201.162,4,4,0.00,174.25,0.00,N/A
104.16.152.33,4,4,0.00,174.29,0.00,N/A
104.16.59.106,4,4,0.00,174.32,0.00,N/A
104.16.3.236,4,4,0.00,174.37,0.00,N/A
172.65.237.158,4,4,0.00,174.43,0.00,N/A
104.16.13.245,4,4,0.00,174.45,0.00,N/A
172.65.247.250,4,4,0.00,174.52,0.00,N/A
104.17.27.125,4,4,0.00,174.61,0.00,N/A
172.65.221.179,4,4,0.00,174.63,0.00,N/A
104.16.229.120,4,4,0.00,174.69,0.00,N/A
104.16.121.70,4,4,0.00,174.72,0.00,N/A
198.41.202.105,4,4,0.00,174.74,0.00,N/A
104.17.88.68,4,4,0.00,174.81,0.00,N/A
162.159.251.227,4,4,0.00,174.83,0.00,N/A
104.16.174.158,4,4,0.00,174.83,0.00,N/A
104.21.229.107,4,4,0.00,174.84,0.00,N/A
104.16.94.17,4,4,0.00,174.90,0.00,N/A
104.17.0.60,4,4,0.00,175.12,0.00,N/A
198.41.219.162,4,4,0.00,175.16,0.00,N/A
104.16.166.199,4,4,0.00,175.28,0.00,N/A
104.16.4.46,4,4,0.00,175.40,0.00,N/A
104.16.124.118,4,4,0.00,175.51,0.00,N/A
104.17.23.42,4,4,0.00,175.56,0.00,N/A
162.159.249.103,4,4,0.00,175.57,0.00,N/A
104.17.30.8,4,4,0.00,175.58,0.00,N/A
104.16.143.66,4,4,0.00,175.59,0.00,N/A
104.16.19.39,4,4,0.00,175.63,0.00,N/A
104.16.25.68,4,4,0.00,175.64,0.00,N/A
104.16.41.84,4,4,0.00,175.67,0.00,N/A
104.17.39.212,4,4,0.00,175.68,0.00,N/A
104.16.49.202,4,4,0.00,175.70,0.00,N/A
104.16.53.81,4,4,0.00,175.76,0.00,N/A
104.16.235.132,4,4,0.00,175.76,0.00,N/A
172.65.223.44,4,4,0.00,175.82,0.00,N/A
104.16.193.200,4,4,0.00,175.87,0.00,N/A
198.41.192.212,4,4,0.00,176.06,0.00,N/A
104.16.236.152,4,4,0.00,176.09,0.00,N/A
198.41.193.215,4,4,0.00,176.19,0.00,N/A
172.64.80.80,4,4,0.00,176.23,0.00,N/A
172.65.215.249,4,4,0.00,176.24,0.00,N/A
104.17.26.182,4,4,0.00,176.25,0.00,N/A
104.16.156.142,4,4,0.00,176.43,0.00,N/A
104.16.47.122,4,4,0.00,176.45,0.00,N/A
104.17.28.233,4,4,0.00,176.48,0.00,N/A
104.16.64.172,4,4,0.00,176.55,0.00,N/A
104.17.49.89,4,4,0.00,176.63,0.00,N/A
162.159.247.179,4,4,0.00,176.64,0.00,N/A
104.17.91.65,4,4,0.00,176.71,0.00,N/A
104.16.213.147,4,4,0.00,176.73,0.00,N/A
104.16.21.240,4,4,0.00,176.89,0.00,N/A
198.41.205.229,4,4,0.00,176.99,0.00,N/A
104.21.224.37,4,4,0.00,177.15,0.00,N/A
104.16.207.239,4,4,0.00,177.40,0.00,N/A
172.66.42.184,4,4,0.00,177.53,0.00,N/A
104.16.176.204,4,4,0.00,177.63,0.00,N/A
104.17.134.227,4,4,0.00,177.70,0.00,N/A
162.159.254.93,4,4,0.00,177.81,0.00,N/A
104.16.85.189,4,4,0.00,178.00,0.00,N/A
104.16.133.148,4,4,0.00,178.16,0.00,N/A
104.16.115.55,4,4,0.00,178.23,0.00,N/A
104.16.243.218,4,4,0.00,178.27,0.00,N/A
104.17.40.4,4,4,0.00,178.38,0.00,N/A
172.64.83.24,4,4,0.00,178.39,0.00,N/A
104.16.11.202,4,4,0.00,178.42,0.00,N/A
104.16.209.126,4,4,0.00,178.42,0.00,N/A
162.159.248.8,4,4,0.00,178.57,0.00,N/A
104.16.226.192,4,4,0.00,178.59,0.00,N/A
104.17.25.105,4,4,0.00,178.59,0.00,N/A
104.16.76.5,4,4,0.00,178.80,0.00,N/A
104.16.249.156,4,4,0.00,178.87,0.00,N/A
104.16.196.248,4,4,0.00,178.88,0.00,N/A
162.159.236.135,4,4,0.00,178.93,0.00,N/A
104.17.81.146,4,4,0.00,178.93,0.00,N/A
104.16.220.78,4,4,0.00,179.03,0.00,N/A
104.16.148.191,4,4,0.00,179.27,0.00,N/A
104.17.78.254,4,4,0.00,179.66,0.00,N/A
172.64.95.96,4,4,0.00,179.71,0.00,N/A
172.65.239.171,4,4,0.00,179.89,0.00,N/A
104.17.18.27,4,4,0.00,179.92,0.00,N/A
104.16.122.19,4,4,0.00,180.03,0.00,N/A
162.159.243.120,4,4,0.00,180.25,0.00,N/A
104.16.70.83,4,4,0.00,180.30,0.00,N/A
104.17.13.28,4,4,0.00,180.33,0.00,N/A
104.16.16.21,4,4,0.00,180.57,0.00,N/A
104.17.72.248,4,4,0.00,180.85,0.00,N/A
104.16.44.36,4,4,0.00,180.94,0.00,N/A
104.17.38.114,4,4,0.00,181.04,0.00,N/A
104.16.120.184,4,4,0.00,181.09,0.00,N/A
172.64.100.39,4,4,0.00,181.18,0.00,N/A
172.65.249.252,4,4,0.00,181.30,0.00,N/A
172.66.193.108,4,4,0.00,181.35,0.00,N/A
104.21.220.146,4,4,0.00,181.40,0.00,N/A
162.159.242.3,4,4,0.00,181.52,0.00,N/A
104.16.234.57,4,4,0.00,181.59,0.00,N/A
162.159.206.210,4,4,0.00,181.66,0.00,N/A
172.65.209.145,4,4,0.00,181.98,0.00,N/A
104.16.224.123,4,4,0.00,182.00,0.00,N/A
172.64.235.27,4,4,0.00,182.06,0.00,N/A
172.67.87.191,4,4,0.00,182.08,0.00,N/A
172.64.82.104,4,4,0.00,182.16,0.00,N/A
104.17.63.134,4,4,0.00,182.41,0.00,N/A
104.16.12.183,4,4,0.00,182.49,0.00,N/A
104.16.183.211,4,4,0.00,182.49,0.00,N/A
104.16.112.184,4,4,0.00,182.51,0.00,N/A
141.101.121.205,4,4,0.00,182.54,0.00,N/A
172.65.45.11,4,4,0.00,182.69,0.00,N/A
104.17.60.116,4,4,0.00,182.72,0.00,N/A
162.159.239.96,4,4,0.00,182.72,0.00,N/A
104.16.164.115,4,4,0.00,182.80,0.00,N/A
172.67.180.66,4,4,0.00,182.88,0.00,N/A
172.65.196.29,4,4,0.00,183.05,0.00,N/A
104.21.50.229,4,4,0.00,183.18,0.00,N/A
104.16.77.94,4,4,0.00,183.47,0.00,N/A
104.16.99.103,4,4,0.00,183.47,0.00,N/A
162.159.250.110,4,4,0.00,183.62,0.00,N/A
162.159.244.128,4,4,0.00,183.67,0.00,N/A
141.101.120.119,4,4,0.00,183.75,0.00,N/A
104.17.90.247,4,4,0.00,183.79,0.00,N/A
103.31.4.128,4,4,0.00,183.87,0.00,N/A
104.16.20.170,4,4,0.00,183.89,0.00,N/A
104.16.186.215,4,4,0.00,183.93,0.00,N/A
104.16.173.59,4,4,0.00,184.02,0.00,N/A
104.16.171.231,4,4,0.00,184.11,0.00,N/A
162.159.252.155,4,4,0.00,184.12,0.00,N/A
104.17.20.173,4,4,0.00,184.35,0.00,N/A
172.64.101.167,4,4,0.00,184.37,0.00,N/A
104.16.215.209,4,4,0.00,184.69,0.00,N/A
104.21.2.74,4,4,0.00,184.70,0.00,N/A
198.41.218.51,4,4,0.00,184.84,0.00,N/A
172.67.78.62,4,4,0.00,184.93,0.00,N/A
104.21.114.148,4,4,0.00,184.93,0.00,N/A
104.17.54.207,4,4,0.00,184.99,0.00,N/A
162.159.234.35,4,4,0.00,185.15,0.00,N/A
104.16.73.169,4,4,0.00,185.30,0.00,N/A
104.16.119.199,4,4,0.00,185.66,0.00,N/A
190.93.244.239,4,4,0.00,185.67,0.00,N/A
104.16.127.18,4,4,0.00,185.68,0.00,N/A
104.16.254.109,4,4,0.00,185.71,0.00,N/A
162.159.48.121,4,4,0.00,185.76,0.00,N/A
104.16.218.149,4,4,0.00,185.83,0.00,N/A
104.21.60.243,4,4,0.00,185.83,0.00,N/A
104.17.141.100,4,4,0.00,185.85,0.00,N/A
172.64.234.130,4,4,0.00,186.08,0.00,N/A
172.65.149.123,4,4,0.00,186.17,0.00,N/A
198.41.217.40,4,4,0.00,186.27,0.00,N/A
104.16.104.31,4,4,0.00,186.33,0.00,N/A
104.21.218.41,4,4,0.00,186.42,0.00,N/A
162.159.241.246,4,4,0.00,186.61,0.00,N/A
104.17.75.14,4,4,0.00,186.80,0.00,N/A
104.16.126.30,4,4,0.00,186.88,0.00,N/A
104.25.138.189,4,4,0.00,186.90,0.00,N/A
172.65.156.69,4,4,0.00,187.10,0.00,N/A
172.67.229.55,4,4,0.00,187.20,0.00,N/A
172.67.194.109,4,4,0.00,187.30,0.00,N/A
104.16.92.52,4,4,0.00,187.41,0.00,N/A
104.17.61.73,4,4,0.00,187.55,0.00,N/A
104.16.217.118,4,4,0.00,187.61,0.00,N/A
162.159.56.60,4,4,0.00,187.67,0.00,N/A
104.16.48.74,4,4,0.00,187.70,0.00,N/A
172.65.12.56,4,4,0.00,187.86,0.00,N/A
104.16.37.188,4,4,0.00,187.90,0.00,N/A
104.16.5.8,4,4,0.00,188.01,0.00,N/A
104.21.117.183,4,4,0.00,188.06,0.00,N/A
198.41.206.40,4,4,0.00,188.17,0.00,N/A
104.16.58.124,4,4,0.00,188.17,0.00,N/A
104.16.97.107,4,4,0.00,188.23,0.00,N/A
104.16.245.192,4,4,0.00,188.37,0.00,N/A
104.16.60.164,4,4,0.00,188.47,0.00,N/A
104.21.89.184,4,4,0.00,188.47,0.00,N/A
104.16.170.169,4,4,0.00,188.60,0.00,N/A
104.16.200.94,4,4,0.00,188.62,0.00,N/A
141.101.123.35,4,4,0.00,188.68,0.00,N/A
162.159.245.186,4,4,0.00,188.78,0.00,N/A
104.16.69.76,4,4,0.00,188.87,0.00,N/A
172.65.125.139,4,4,0.00,188.96,0.00,N/A
104.21.79.68,4,4,0.00,189.35,0.00,N/A
104.24.166.173,4,4,0.00,189.61,0.00,N/A
104.17.121.30,4,4,0.00,189.65,0.00,N/A
141.101.90.219,4,4,0.00,189.79,0.00,N/A
172.67.79.152,4,4,0.00,189.80,0.00,N/A
172.67.153.5,4,4,0.00,189.85,0.00,N/A
104.16.1.207,4,4,0.00,189.90,0.00,N/A
172.65.4.98,4,4,0.00,189.93,0.00,N/A
104.16.157.174,4,4,0.00,189.97,0.00,N/A
104.21.103.96,4,4,0.00,189.97,0.00,N/A
104.27.6.23,4,4,0.00,189.98,0.00,N/A
104.16.246.194,4,4,0.00,190.16,0.00,N/A
104.17.55.102,4,4,0.00,190.18,0.00,N/A
172.65.3.249,4,4,0.00,190.29,0.00,N/A
104.16.22.48,4,4,0.00,190.37,0.00,N/A
172.65.41.81,4,4,0.00,190.39,0.00,N/A
104.17.53.204,4,4,0.00,190.45,0.00,N/A
104.17.31.188,4,4,0.00,190.46,0.00,N/A
104.25.182.79,4,4,0.00,190.65,0.00,N/A
172.65.70.48,4,4,0.00,190.66,0.00,N/A
172.67.252.165,4,4,0.00,190.76,0.00,N/A
172.66.213.220,4,4,0.00,190.80,0.00,N/A
172.67.251.55,4,4,0.00,190.84,0.00,N/A
162.159.138.47,4,4,0.00,190.99,0.00,N/A
172.65.16.13,4,4,0.00,191.09,0.00,N/A
104.17.35.193,4,4,0.00,191.16,0.00,N/A
104.21.0.146,4,4,0.00,191.32,0.00,N/A
104.17.46.92,4,4,0.00,191.39,0.00,N/A
104.27.32.191,4,4,0.00,191.39,0.00,N/A
172.65.59.62,4,4,0.00,191.49,0.00,N/A
104.21.69.226,4,4,0.00,191.66,0.00,N/A
104.16.45.31,4,4,0.00,191.72,0.00,N/A
104.17.10.221,4,4,0.00,191.76,0.00,N/A
104.21.194.45,4,4,0.00,191.76,0.00,N/A
104.16.123.74,4,4,0.00,191.76,0.00,N/A
172.67.89.68,4,4,0.00,191.79,0.00,N/A
172.66.175.16,4,4,0.00,191.88,0.00,N/A
104.25.122.128,4,4,0.00,191.89,0.00,N/A
104.16.163.22,4,4,0.00,191.89,0.00,N/A
172.67.123.226,4,4,0.00,191.91,0.00,N/A
172.65.35.195,4,4,0.00,191.95,0.00,N/A
104.16.137.107,4,4,0.00,191.96,0.00,N/A
104.16.57.116,4,4,0.00,192.27,0.00,N/A
172.65.1.130,4,4,0.00,192.30,0.00,N/A
104.17.32.196,4,4,0.00,192.31,0.00,N/A
162.159.50.170,4,4,0.00,192.48,0.00,N/A
104.17.132.104,4,4,0.00,192.51,0.00,N/A
172.67.253.90,4,4,0.00,192.56,0.00,N/A
172.65.167.66,4,4,0.00,192.66,0.00,N/A
104.21.108.146,4,4,0.00,192.69,0.00,N/A
104.17.119.30,4,4,0.00,192.83,0.00,N/A
104.17.109.124,4,4,0.00,192.88,0.00,N/A
104.21.192.48,4,4,0.00,192.96,0.00,N/A
104.16.194.118,4,4,0.00,193.17,0.00,N/A
104.17.64.109,4,4,0.00,193.20,0.00,N/A
172.67.237.130,4,4,0.00,193.24,0.00,N/A
104.21.91.184,4,4,0.00,193.27,0.00,N/A
172.64.69.34,4,4,0.00,193.38,0.00,N/A
162.159.27.190,4,4,0.00,193.40,0.00,N/A
104.16.134.186,4,4,0.00,193.49,0.00,N/A
104.16.159.127,4,4,0.00,193.86,0.00,N/A
104.25.136.193,4,4,0.00,193.88,0.00,N/A
104.25.214.142,4,4,0.00,194.12,0.00,N/A
104.17.127.36,4,4,0.00,194.25,0.00,N/A
104.17.187.219,4,4,0.00,194.43,0.00,N/A
104.17.117.191,4,4,0.00,194.44,0.00,N/A
172.65.147.114,4,4,0.00,194.45,0.00,N/A
104.21.56.101,4,4,0.00,194.57,0.00,N/A
104.16.131.33,4,4,0.00,194.60,0.00,N/A
172.67.103.14,4,4,0.00,194.60,0.00,N/A
104.17.6.217,4,4,0.00,194.71,0.00,N/A
104.21.55.80,4,4,0.00,194.72,0.00,N/A
104.25.129.38,4,4,0.00,194.79,0.00,N/A
172.67.141.68,4,4,0.00,194.89,0.00,N/A
172.67.234.174,4,4,0.00,194.91,0.00,N/A
104.16.165.166,4,4,0.00,195.09,0.00,N/A
104.16.129.139,4,4,0.00,195.09,0.00,N/A
104.21.107.94,4,4,0.00,195.12,0.00,N/A
104.24.68.186,4,4,0.00,195.13,0.00,N/A
104.21.123.213,4,4,0.00,195.18,0.00,N/A
172.67.216.142,4,4,0.00,195.20,0.00,N/A
172.65.144.131,4,4,0.00,195.35,0.00,N/A
172.64.48.31,4,4,0.00,195.36,0.00,N/A
104.21.219.87,4,4,0.00,195.40,0.00,N/A
104.21.29.11,4,4,0.00,195.41,0.00,N/A
104.25.113.88,4,4,0.00,195.57,0.00,N/A
172.65.5.73,4,4,0.00,195.67,0.00,N/A
104.21.35.125,4,4,0.00,195.69,0.00,N/A
104.26.3.218,4,4,0.00,195.72,0.00,N/A
104.16.211.56,4,4,0.00,195.79,0.00,N/A
172.67.250.91,4,4,0.00,195.79,0.00,N/A
104.21.102.112,4,4,0.00,195.84,0.00,N/A
172.65.42.36,4,4,0.00,196.15,0.00,N/A
162.159.36.23,4,4,0.00,196.20,0.00,N/A
172.64.40.202,4,4,0.00,196.26,0.00,N/A
172.67.235.118,4,4,0.00,196.33,0.00,N/A
172.65.40.36,4,4,0.00,196.43,0.00,N/A
162.159.40.65,4,4,0.00,196.44,0.00,N/A
172.64.49.44,4,4,0.00,196.46,0.00,N/A
104.24.92.134,4,4,0.00,196.47,0.00,N/A
104.16.96.166,4,4,0.00,196.48,0.00,N/A
104.16.252.4,4,4,0.00,196.49,0.00,N/A
172.65.119.157,4,4,0.00,196.62,0.00,N/A
104.17.7.160,4,4,0.00,196.64,0.00,N/A
172.67.137.152,4,4,0.00,196.64,0.00,N/A
162.159.41.216,4,4,0.00,196.64,0.00,N/A
172.65.0.150,4,4,0.00,196.67,0.00,N/A
172.64.156.59,4,4,0.00,196.70,0.00,N/A
104.16.208.142,4,4,0.00,196.77,0.00,N/A
104.25.101.63,4,4,0.00,196.82,0.00,N/A
104.25.27.177,4,4,0.00,196.93,0.00,N/A
162.159.135.51,4,4,0.00,196.98,0.00,N/A
172.65.49.124,4,4,0.00,196.99,0.00,N/A
104.21.38.126,4,4,0.00,197.17,0.00,N/A
104.21.68.49,4,4,0.00,197.19,0.00,N/A
104.21.57.23,4,4,0.00,197.28,0.00,N/A
172.67.139.214,4,4,0.00,197.44,0.00,N/A
104.21.109.228,4,4,0.00,197.45,0.00,N/A
104.16.100.10,4,4,0.00,197.50,0.00,N/A
104.17.115.223,4,4,0.00,197.58,0.00,N/A
162.159.34.37,4,4,0.00,197.60,0.00,N/A
104.21.22.224,4,4,0.00,197.70,0.00,N/A
172.64.36.152,4,4,0.00,197.82,0.00,N/A
172.65.9.246,4,4,0.00,197.87,0.00,N/A
104.17.99.246,4,4,0.00,197.89,0.00,N/A
104.25.121.230,4,4,0.00,198.02,0.00,N/A
108.162.192.176,4,4,0.00,198.05,0.00,N/A
172.67.238.164,4,4,0.00,198.16,0.00,N/A
162.159.43.183,4,4,0.00,198.22,0.00,N/A
104.21.54.230,4,4,0.00,198.25,0.00,N/A
172.64.35.112,4,4,0.00,198.46,0.00,N/A
104.25.157.247,4,4,0.00,198.47,0.00,N/A
104.25.167.66,4,4,0.00,198.56,0.00,N/A
104.21.87.80,4,4,0.00,198.59,0.00,N/A
172.64.157.194,4,4,0.00,198.61,0.00,N/A
172.67.111.137,4,4,0.00,198.63,0.00,N/A
104.24.24.64,4,4,0.00,198.96,0.00,N/A
172.67.156.14,4,4,0.00,199.06,0.00,N/A
162.159.24.107,4,4,0.00,199.06,0.00,N/A
172.65.44.93,4,4,0.00,199.17,0.00,N/A
172.67.149.200,4,4,0.00,199.23,0.00,N/A
104.21.44.112,4,4,0.00,199.27,0.00,N/A
162.159.60.26,4,4,0.00,199.52,0.00,N/A
104.25.24.138,4,4,0.00,199.53,0.00,N/A
172.67.178.173,4,4,0.00,199.55,0.00,N/A
104.17.122.220,4,4,0.00,199.61,0.00,N/A
104.25.100.246,4,4,0.00,199.63,0.00,N/A
104.17.113.4,4,4,0.00,199.71,0.00,N/A
104.16.38.199,4,4,0.00,199.71,0.00,N/A
104.21.36.205,4,4,0.00,199.90,0.00,N/A
104.21.3.60,4,4,0.00,199.91,0.00,N/A
104.21.197.150,4,4,0.00,199.91,0.00,N/A
104.21.122.137,4,4,0.00,199.97,0.00,N/A
172.65.88.90,4,4,0.00,199.98,0.00,N/A
172.67.140.185,4,4,0.00,200.21,0.00,N/A
104.24.41.66,4,4,0.00,200.25,0.00,N/A
172.67.147.211,4,4,0.00,200.26,0.00,N/A
104.17.102.114,4,4,0.00,200.28,0.00,N/A
104.25.8.96,4,4,0.00,200.29,0.00,N/A
172.67.242.35,4,4,0.00,200.32,0.00,N/A
104.21.221.33,4,4,0.00,200.39,0.00,N/A
162.159.42.64,4,4,0.00,200.41,0.00,N/A
172.66.214.96,4,4,0.00,200.45,0.00,N/A
104.21.76.216,4,4,0.00,200.52,0.00,N/A
104.21.37.44,4,4,0.00,200.61,0.00,N/A
104.21.1.45,4,4,0.00,200.73,0.00,N/A
172.67.239.10,4,4,0.00,200.85,0.00,N/A
104.29.125.118,4,4,0.00,200.95,0.00,N/A
104.21.20.144,4,4,0.00,200.97,0.00,N/A
172.65.62.50,4,4,0.00,201.07,0.00,N/A
172.67.85.243,4,4,0.00,201.07,0.00,N/A
172.64.52.76,4,4,0.00,201.18,0.00,N/A
104.17.191.137,4,4,0.00,201.19,0.00,N/A
162.159.51.17,4,4,0.00,201.19,0.00,N/A
172.65.104.65,4,4,0.00,201.34,0.00,N/A
104.21.99.250,4,4,0.00,201.36,0.00,N/A
172.65.155.150,4,4,0.00,201.40,0.00,N/A
104.17.125.98,4,4,0.00,201.40,0.00,N/A
162.159.32.184,4,4,0.00,201.46,0.00,N/A
172.67.114.236,4,4,0.00,201.55,0.00,N/A
